"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2500.2501","4385","16820","LineString","166.38","86",2500,2501,-62.7838,44.9366,-63.343,45.3673,2015-09-07,2015-09-11
"2500.2629","4390,4385,4390","16820,16820,16820","LineString","166.38","86",2629,2500,-62.7159,44.7533,-62.7838,44.9366,2015-09-07,2015-09-09
"2501.2501","15326,15326,17154,17154,17138,17138,17138,17094,17138,17094,17094,17094","4690,4690,4690,4690,4690,4690,4690,4690,4690,4690,4690,4690","LineString","166.38","38,78",2501,2501,-63.343,45.3673,-63.343,45.3673,2017-09-16,2018-09-23
"2501.2560","630","4670","LineString","166.38","15",2501,2560,-63.343,45.3673,-64.76247,47.67051,2015-09-04,2015-09-06
"2501.2629","630","4670","LineString","166.38","15",2629,2501,-62.7159,44.7533,-63.343,45.3673,2015-09-04,2015-09-04
"2501.2675","4381","16820","LineString","166.38","86",2501,2675,-63.343,45.3673,-64.10708,44.48344,2015-09-13,2015-09-24
"2501.2933","4385","16820","LineString","166.38","86",2501,2933,-63.343,45.3673,-62.34741,44.91329,2015-09-11,2015-09-16
"2501.3018","13688","15580","LineString","166.38","109",3018,2501,-66.1526,43.9859,-63.343,45.3673,2017-09-23,2017-09-25
"2501.3041","11932,21664,15326,21697","4690,4690,4690,4690","LineString","166.38","3,38,59",2501,3041,-63.343,45.3673,-62.9238,44.7284,2017-08-26,2018-08-29
"2501.3156","654,647,644","4690,4690,4690","LineString","166.38","15",3156,2501,-63.7477,50.1952,-63.343,45.3673,2015-08-30,2015-09-01
"2501.3158","652,651","4690,4690","LineString","166.38","15",3158,2501,-63.9094,50.1911,-63.343,45.3673,2015-08-18,2015-09-01
