"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
383,3681,"Bowdoin CSC 2015",2015-08-19,2015-10-11,3,"166.38",NA,NA
1334,3682,"LONG 2015",2015-09-04,2015-10-09,2,"166.38",NA,NA
2022,3683,"Sandbanks Provincial Park",2016-12-07,2017-03-20,2,"166.38","CAN","North America"
1650,3684,"North East (Kilgas)",2016-12-15,2017-01-23,2,"166.38","USA","North America"
1241,3685,"Kingsville",2016-12-14,2017-05-24,2,"166.38","USA","North America"
1009,3686,"Girard",2016-12-14,2017-04-19,2,"166.38","USA","North America"
2339,3687,"Tommy Thompson",2016-12-09,2016-12-23,2,"166.38","CAN","North America"
219,3688,"Anderson",2016-12-19,2019-02-20,3,"166.38","CAN","North America"
598,3689,"Charlton Island",2016-07-30,2016-10-26,NA,NA,NA,NA
621,3690,"Clear Creek",2016-12-19,2017-03-23,2,"166.38","CAN","North America"
452,3691,"Bronte_Creek_Provincial_Park",2016-12-20,2017-04-10,2,"166.38","CAN","North America"
2506,3692,"Wilmot Creek",2016-12-20,2017-04-23,2,"166.38","CAN","North America"
432,3694,"Brantford_Airport",2016-12-19,2017-04-18,2,"166.38","CAN","North America"
1839,3695,"Port O'Connor",2016-12-22,2017-08-25,3,"166.38",NA,NA
243,3696,"Asunción Bay",2016-11-28,NA,1,"166.38","PRY","South America and the Caribbean"
315,3699,"Bill Baker Tugboat",2016-12-29,2018-07-31,1,"166.38","USA","North America"
49,3700,"20_Wilhelmshaven",2016-10-12,2017-05-02,3,"150.1","DEU","Eurasia"
53,3701,"21_Wangerland_Schöpfwerk",2016-12-14,NA,3,"150.1","DEU","Eurasia"
55,3702,"23_Carolinensiel",2016-12-15,NA,3,"150.1","DEU","Eurasia"
288,3704,"BBVA",2016-07-15,2017-11-10,6,"166.38",NA,NA
604,3706,"CHDE",2016-07-27,2017-11-12,6,"166.38","USA","North America"
1187,3707,"JBNY",2016-09-19,2017-04-14,4,"166.38",NA,NA
2461,3708,"Werden",2017-01-04,2017-04-13,2,"166.38","CAN","North America"
2046,3709,"Scenic Galveston",2017-01-05,NA,2,"166.38","USA","North America"
