sensorID,serialNumber
513,SG-2712BB000151
1819,SG-2712BB000151
2926,SG-2712BB000151
580,SG-2712BB000175
1430,SG-2712BB000175
1563,SG-2712BB000175
1610,SG-2712BB000175
2919,SG-2712BB000175
1955,SG-2712BB000208
1851,SG-2713BBBK4282
1783,SG-2715BBBK0304
3136,SG-2715BBBK0304
1785,SG-2715BBBK0354
2151,SG-2715BBBK0539
2310,SG-2715BBBK0587
1786,SG-2715BBBK0626
3135,SG-2715BBBK0626
1479,SG-2715BBBK1438
1790,SG-2715BBBK1697
1473,SG-2715BBBK1711
3836,SG-27DARPI38624
542,SG-2813BBBK0935
2185,SG-2813BBBK0935
1310,SG-2814BBBK0385
1687,SG-2814BBBK0547
1281,SG-2814BBBK1186
1232,SG-2814BBBK1243
1520,SG-2814BBBK1244
1636,SG-2814BBBK1244
2431,SG-2814BBBK1244
1689,SG-2814BBBK1267
1367,SG-2814BBBK4765
3517,SG-2878RPI3F75D
2238,SG-2914BBBK0347
2037,SG-2916BBBK0723
2251,SG-2916BBBK072E
2252,SG-2916BBBK0751
1913,SG-2916BBBK0794
3793,SG-2933RPI381E7
3224,SG-29EDRPI34C11
3889,SG-2A24RPI3ABA1
4028,SG-2A30RPI39A32
3790,SG-2A88RPI3F549
3194,SG-2B75RPI3C5A4
3198,SG-2BCBRPI35F78
2387,SG-2BD6RPI3FE74
3733,SG-2C20RPI3AE28
3229,SG-2E8FRPI3E26F
3428,SG-2E8FRPI3E26F
3762,SG-2ECERPI30B48
1163,SG-3000BBBK3600
1164,SG-3000BBBK3800
2440,SG-3021RPI2BBB8
3163,SG-3035RPI3A1BE
2893,SG-303CRPI3E366
3740,SG-303CRPI3E366
2798,SG-30B8RPI3AB49
1614,SG-3114BBBK2156
1616,SG-3114BBBK2178
1617,SG-3114BBBK2277
1615,SG-3114BBBK2336
1679,SG-3115BBBK0664
1647,SG-3115BBBK0698
3166,SG-3115BBBK0698
1549,SG-3115BBBK0750
1475,SG-3115BBBK0782
1604,SG-3115BBBK1117
2205,SG-3115BBBK1118
1739,SG-3115BBBK1120
1585,SG-3115BBBK1127
1593,SG-3115BBBK1128
2207,SG-3115BBBK1137
1605,SG-3115BBBK1140
1646,SG-3115BBBK1151
