"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
3,33261,21659,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33262,21660,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33263,21661,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33264,21662,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33265,21663,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33266,21664,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33267,21665,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33268,21666,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33269,21667,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33270,21668,"active",4690,2017-08-10,2018-03-07,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33271,21669,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33272,21670,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33273,21671,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
3,33274,21672,"active",4690,2017-08-01,2018-02-26,50.192778,-63.745278,166.38,"NTQB-3-2","Lotek"
124,33450,21761,"terminated",4690,2017-12-04,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33451,21748,"terminated",4690,2017-12-04,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33452,21753,"terminated",4690,2017-12-16,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33453,21759,"terminated",4690,2017-12-17,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33454,21749,"terminated",4690,2017-12-16,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33455,21755,"terminated",4690,2017-12-17,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33456,21762,"terminated",4690,2017-12-17,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33457,21746,"terminated",4690,2017-12-17,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33458,21757,"terminated",4690,2017-12-18,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33459,21758,"terminated",4690,2017-12-17,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33460,21751,"terminated",4690,2017-12-18,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33461,21754,"terminated",4690,2017-12-18,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33462,21760,"terminated",4690,2017-12-18,2018-06-30,5.9878,-56.8944,166.38,"NTQB-3-2","Lotek"
124,33463,21750,"terminated",4690,2017-12-03,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33464,21756,"terminated",4690,2017-12-04,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33465,21747,"terminated",4690,2017-12-04,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33466,21752,"terminated",4690,2017-12-04,2018-06-30,5.7463,-53.934,166.38,"NTQB-3-2","Lotek"
124,33467,21763,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
